"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2015-11-04T01:45:00","2015-11-05T22:32:40","2015","11","1","Wednesday","XAUUSD","sell","0.01","1119.99","1103.93","1142.08",,"22.09","-0.613852","2687.67","-13.56","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1103.93"
"2015-11-05T18:00:00","2015-12-07T01:05:00","2015","11","18","Thursday","XAUUSD","buy","0.04","1107.32","1085.2","1103.93","1114.91","13.56","2.44764","45065","33.19","True","other","RRO;Band VWAP reversion;Lower-",""
"2016-02-04T02:30:00","2016-03-15T01:05:00","2016","2","2","Thursday","XAUUSD","buy","0.01","1141.82","1235.18","1121.36",,"20.46","4.324047","57515","88.47","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2017-02-16T16:00:00","2017-02-16T16:53:20","2017","2","16","Thursday","XAUUSD","sell","0.04","1236.47","1239.76","1239.76","1229.64","13.16","-1","53.33","-13.16","False","other","RRO;Band VWAP reversion;Upper-","sl 1239.76"
"2017-02-28T22:00:00","2017-03-01T01:45:40","2017","2","22","Tuesday","XAUUSD","buy","0.01","1250.93","1247.07","1247.07","1255.5","3.86","-1.033679","225.67","-3.99","False","other","RRO;Band VWAP reversion;Lower-","sl 1247.07"
"2018-05-08T18:00:00","2018-05-08T19:10:40","2018","5","18","Tuesday","XAUUSD","buy","0.04","1307.93","1312.55","1305.47","1312.55","9.84","1.878049","70.67","18.48","True","other","RRO;Band VWAP reversion;Lower-","tp 1312.55"
"2018-06-18T01:05:00","2018-08-27T01:05:00","2018","6","1","Monday","XAUUSD","sell","0.01","1279.13","1207.53","1295.32",,"16.19","4.212477","100800","68.2","True","other","DDB;DDB;Daily Donchian sell;AD",""
"2018-08-30T20:00:00","2018-08-31T07:05:40","2018","8","20","Thursday","XAUUSD","buy","0.01","1199.43","1203.23","1195.66","1203.23","3.77","0.973475","665.67","3.67","True","other","RRO;Band VWAP reversion;Lower-","tp 1203.23"
"2018-09-28T15:00:00","2018-09-28T17:56:40","2018","9","15","Friday","XAUUSD","buy","0.04","1183.52","1190.74","1180.29","1190.74","12.92","2.235294","176.67","28.88","True","other","RRO;Band VWAP reversion;Lower-","tp 1190.74"
"2018-11-12T01:30:00","2018-11-20T15:27:40","2018","11","1","Monday","XAUUSD","sell","0.01","1209.59","1227.91","1227.91",,"18.32","-1.021288","12357.67","-18.71","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1227.91"
"2019-05-14T10:15:00","2019-05-17T16:39:40","2019","5","10","Tuesday","XAUUSD","buy","0.01","1297.32","1280.99","1280.99",,"16.33","-1.039192","4704.67","-16.97","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1280.99"
"2019-10-21T21:00:00","2019-10-21T21:43:20","2019","10","21","Monday","XAUUSD","buy","0.01","1485.91","1482.78","1482.78","1490.4","3.13","-1","43.33","-3.13","False","other","RRO;Band VWAP reversion;Lower-","sl 1482.78"
"2020-01-30T21:00:00","2020-01-31T01:05:20","2020","1","21","Thursday","XAUUSD","sell","0.01","1584.05","1575.14","1586.58","1575.14","2.53","3.501976","245.33","8.86","True","other","RRO;Band VWAP reversion;Upper-","tp 1575.14"
"2020-02-20T16:00:00","2020-02-20T17:22:40","2020","2","16","Thursday","XAUUSD","sell","0.03","1615.75","1619.68","1619.68","1605.29","11.79","-1","82.67","-11.79","False","other","RRO;Band VWAP reversion;Upper-","sl 1619.68"
"2020-03-06T10:00:00","2020-03-06T11:43:40","2020","3","10","Friday","XAUUSD","buy","0.04","1672.4","1685.48","1666.39","1685.48","24.04","2.176373","103.67","52.32","True","trend_fallback","DGF;Diagnostic trend fallback;","tp 1685.48"
"2020-04-14T10:15:00","2020-04-14T10:55:40","2020","4","10","Tuesday","XAUUSD","buy","0.05","1712.99","1724.63","1707.48","1724.63","27.55","2.112523","40.67","58.2","True","trend_fallback","DGF;Diagnostic trend fallback;","tp 1724.63"
"2020-06-08T10:30:00","2020-06-08T11:06:40","2020","6","10","Monday","XAUUSD","sell","0.05","1693.19","1696.42","1696.42","1685.17","16.15","-1","36.67","-16.15","False","trend_fallback","DGF;Diagnostic trend fallback;","sl 1696.42"
"2020-07-31T10:45:00","2020-07-31T12:45:00","2020","7","10","Friday","XAUUSD","buy","0.02","1974.77","1975.24","1964.6","1990.89","20.34","0.046214","120","0.94","True","trend_fallback","DGF;Diagnostic trend fallback;",""
"2020-09-29T09:15:00","2020-09-29T10:10:40","2020","9","9","Tuesday","XAUUSD","buy","0.05","1879.6","1880.39","1875.49","1886.24","20.55","0.192214","55.67","3.95","True","trend_fallback","DGF;Diagnostic trend fallback;","sl 1880.39"
"2020-09-30T09:30:00","2020-09-30T10:22:40","2020","9","9","Wednesday","XAUUSD","buy","0.05","1887.98","1885.58","1882.86","1896.67","25.6","-0.46875","52.67","-12","False","liquidity_sweep","DGF;Liquidity sweep;Diagnostic","sl 1885.58"
"2020-10-29T09:00:00","2020-10-29T10:11:00","2020","10","9","Thursday","XAUUSD","sell","0.05","1882.78","1877.94","1884.97","1877.94","10.95","2.210046","71","24.2","True","trend_fallback","DGF;Diagnostic trend fallback;","tp 1877.94"
