"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_ri_control_older_2015_2018_m1.ini","ri_control_older_2015_2018_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_older_2015_2018_m1.htm","10000","1460","3.9973","184.32","10184.32","1.84","0.46","0.46","9.38","26.33","0.24","71.43","7","1","72.93","0.72","18.71","72.93","2.53","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_ri_control_discovery_2019_2020_m1.ini","ri_control_discovery_2019_2020_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_discovery_2019_2020_m1.htm","10000","730","1.9986","108.33","10108.33","1.08","0.54","0.54","4.46","13.54","4.51","62.5","8","1","39.15","0.39","23.26","39.15","2.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_ri_control_continuous_2015_2020_m1.ini","ri_control_continuous_2015_2020_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_continuous_2015_2020_m1.htm","10000","2191","5.9986","252.65","10252.65","2.53","0.42","0.42","4.76","16.84","1.43","66.67","15","2","79.27","0.77","35.68","79.27","3.19","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2015","2015.01.01","2015.12.31","1","configs\004_ri_control_year_2015_m1.ini","ri_control_year_2015_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2015_m1.htm","10000","364","0.9966","33.19","10033.19","0.33","0.33","0.33","0","33.19","0.05","100","1","0","42.54","0.42","0","42.54","0.78","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2016","2016.01.01","2016.12.31","1","configs\005_ri_control_year_2016_m1.ini","ri_control_year_2016_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2016_m1.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2017","2017.01.01","2017.12.31","1","configs\006_ri_control_year_2017_m1.ini","ri_control_year_2017_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2017_m1.htm","10000","364","0.9966","-3.29","9996.71","-0.03","-0.03","-0.03","0","-3.29","-0.14","0","1","1","3.81","0.04","3.29","3.81","-0.86","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2018","2018.01.01","2018.12.31","1","configs\007_ri_control_year_2018_m1.ini","ri_control_year_2018_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2018_m1.htm","10000","364","0.9966","11.61","10011.61","0.12","0.12","0.12","1.62","3.87","0.09","66.67","3","1","31.81","0.32","18.71","31.81","0.36","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2019","2019.01.01","2019.12.31","1","configs\008_ri_control_year_2019_m1.ini","ri_control_year_2019_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2019_m1.htm","10000","364","0.9966","-3.13","9996.87","-0.03","-0.03","-0.03","0","-3.13","-0.27","0","1","1","3.13","0.03","3.13","3.13","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","ri_control","1","reversion_independent","1","discovery_model1","ri_control.set","year_2020","2020.01.01","2020.12.31","1","configs\009_ri_control_year_2020_m1.ini","ri_control_year_2020_m1","profiles\ri_control.set","9F669ABD71725AB2CA215B5B2BF4EABFE65BE2AFF3F22AB5D31E930ECCE5EC55","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_control_year_2020_m1.htm","10000","365","0.9993","116.39","10116.39","1.16","1.16","1.16","4.63","12.93","5.1","66.67","9","1","39.15","0.39","23.26","39.15","2.97","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","ri_m12_r30","2","reversion_independent","1","discovery_model1","ri_m12_r30.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_ri_m12_r30_older_2015_2018_m1.ini","ri_m12_r30_older_2015_2018_m1","profiles\ri_m12_r30.set","A191B0ED22F05839EF2FC3334621753FD3D6E0B6366273129E12F9FA172259D0","Discovery only through 2020: require exact control compatibility, both broad eras positive, no red active discovery year, continuous PF at least 1.50, continuous DD at or below 3%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri_m12_r30_older_2015_2018_m1.htm","10000","1460","3.9973","181.36","10181.36","1.81","0.45","0.45","3.41","15.11","0.7","58.33","12","3","99.37","0.97","38.6","99.37","1.83","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
