"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","MinimumVolumeRatio","MinimumRangeATR","MaximumADX","ExtremeLookbackBars","RequireFreshExtreme","SessionStartHour","SessionEndHour","MaximumTradesPerDay","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","m15vcra_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15vcra_center_older_2015_2018_m1.ini","m15vcra_center_older_2015_2018_m1","profiles\m15vcra_center.set","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_older_2015_2018_m1.htm","7DE74CC9E6EE806EB6A5B95E48C2D2CFAD9B954A75F0ADF6194D63251A58C6AC","True","FIRST_VALID_EXPORT","10000","1460","3.9973","73.23","10073.23","0.73","0.18","0.18","1.31","1.46","8.13","50","50","7","95.33","0.95","86.76","95.33","0.7682"
"2","m15vcra_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15vcra_center_discovery_2019_2020_m1.ini","m15vcra_center_discovery_2019_2020_m1","profiles\m15vcra_center.set","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_discovery_2019_2020_m1.htm","6389B5BC7F10278A663454D1C0406D511FBC03034A5B53C67D24A8587E5AEAFA","True","FIRST_VALID_EXPORT","10000","730","1.9986","35.37","10035.37","0.35","0.18","0.18","1.22","1.04","7.34","47.06","34","4","56.58","0.56","51.4","56.58","0.6251"
"3","m15vcra_center","1","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15vcra_center_continuous_2015_2020_m1.ini","m15vcra_center_continuous_2015_2020_m1","profiles\m15vcra_center.set","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.30","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_continuous_2015_2020_m1.htm","6818B4FED9B5B912CBEC0B366A30E0272FA51EED2C92AE59E5A54EBCE5D817F8","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","2191","5.9986","107.17","10107.17","1.07","0.18","0.18","1.27","1.28","7.75","48.81","84","7","95.33","0.95","86.76","95.33","1.1242"
"4","m15vcra_vol100","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol100.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15vcra_vol100_older_2015_2018_m1.ini","m15vcra_vol100_older_2015_2018_m1","profiles\m15vcra_vol100.set","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.00","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_older_2015_2018_m1.htm","44C2CA1EF2FBD71DE58164AAF4297B30BCA6C511686E9F6C386F76D66D64CACE","True","FIRST_VALID_EXPORT","10000","1460","3.9973","2.34","10002.34","0.02","0.01","0.01","1.01","0.04","0.24","42.37","59","7","112.26","1.12","107.5","112.26","0.0208"
"5","m15vcra_vol100","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol100.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15vcra_vol100_discovery_2019_2020_m1.ini","m15vcra_vol100_discovery_2019_2020_m1","profiles\m15vcra_vol100.set","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.00","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_discovery_2019_2020_m1.htm","96C7B8510A57F6B4F91DB81990F8FBB4E968F27164139DB0DED097FD9B4DC57B","True","FIRST_VALID_EXPORT","10000","730","1.9986","15.05","10015.05","0.15","0.08","0.08","1.07","0.33","2.41","46.67","45","4","61.81","0.62","58.27","61.81","0.2435"
"6","m15vcra_vol100","2","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol100.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15vcra_vol100_continuous_2015_2020_m1.ini","m15vcra_vol100_continuous_2015_2020_m1","profiles\m15vcra_vol100.set","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.00","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_continuous_2015_2020_m1.htm","392D47FC0D41A9CB2FAB954850EAFB53F6CF35F328272B1358D9379730A05FE5","True","FIRST_VALID_EXPORT","10000","2191","5.9986","17.39","10017.39","0.17","0.03","0.03","1.03","0.17","1.08","44.23","104","7","112.26","1.12","107.5","112.26","0.1549"
"7","m15vcra_vol110","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol110.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15vcra_vol110_older_2015_2018_m1.ini","m15vcra_vol110_older_2015_2018_m1","profiles\m15vcra_vol110.set","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.10","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_older_2015_2018_m1.htm","E37C7DC460A3D5E4A773B6D7470E7E84E68CF4A243077F3E430F2DFAE44833FD","True","FIRST_VALID_EXPORT","10000","1460","3.9973","19.1","10019.1","0.19","0.05","0.05","1.07","0.35","2.02","43.64","55","7","112.26","1.12","107.5","112.26","0.1701"
"8","m15vcra_vol110","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol110.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15vcra_vol110_discovery_2019_2020_m1.ini","m15vcra_vol110_discovery_2019_2020_m1","profiles\m15vcra_vol110.set","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.10","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_discovery_2019_2020_m1.htm","BAA02A888997BAD7A58AF8DD1EBA643263AFC947959BAA34738AEAE422653155","True","FIRST_VALID_EXPORT","10000","730","1.9986","15.05","10015.05","0.15","0.08","0.08","1.07","0.33","2.41","46.67","45","4","61.81","0.62","58.27","61.81","0.2435"
"9","m15vcra_vol110","3","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol110.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15vcra_vol110_continuous_2015_2020_m1.ini","m15vcra_vol110_continuous_2015_2020_m1","profiles\m15vcra_vol110.set","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.10","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_continuous_2015_2020_m1.htm","D51081B9521021D1AD070532332CE4A11FF4F911E26A5265A777998110C768CE","True","FIRST_VALID_EXPORT","10000","2191","5.9986","34.15","10034.15","0.34","0.06","0.06","1.07","0.34","2.18","45","100","7","112.26","1.12","107.5","112.26","0.3042"
"10","m15vcra_vol120","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol120.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15vcra_vol120_older_2015_2018_m1.ini","m15vcra_vol120_older_2015_2018_m1","profiles\m15vcra_vol120.set","C6DDB379D415D986C1B07117F05C0C4DE5ECBDC9554989B676477B18AC7BF687","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.20","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol120_older_2015_2018_m1.htm","774E53DFE4E23062C6BBC9B0262B2D428121CA5FD5E3483FAAD5AA6C357E902C","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","41.44","10041.44","0.41","0.1","0.1","1.16","0.83","4.65","46","50","7","104.02","1.04","99.26","104.02","0.3984"
"11","m15vcra_vol120","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol120.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15vcra_vol120_discovery_2019_2020_m1.ini","m15vcra_vol120_discovery_2019_2020_m1","profiles\m15vcra_vol120.set","C6DDB379D415D986C1B07117F05C0C4DE5ECBDC9554989B676477B18AC7BF687","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.20","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol120_discovery_2019_2020_m1.htm","6A389639E19B3E5DDA3F364B1DF363659D5FCBC6B30204C146B4F096CE4180D3","True","FIRST_VALID_EXPORT","10000","730","1.9986","38.02","10038.02","0.38","0.19","0.19","1.2","0.95","6.7","47.5","40","4","60.99","0.61","58.19","60.99","0.6234"
"12","m15vcra_vol120","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol120.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15vcra_vol120_continuous_2015_2020_m1.ini","m15vcra_vol120_continuous_2015_2020_m1","profiles\m15vcra_vol120.set","C6DDB379D415D986C1B07117F05C0C4DE5ECBDC9554989B676477B18AC7BF687","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.20","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol120_continuous_2015_2020_m1.htm","DA43CBC7CC51634CDD4C25D7DEDFFC5671D95027411EB77243605993008DCB66","True","FIRST_VALID_EXPORT","10000","2191","5.9986","79.46","10079.46","0.79","0.13","0.13","1.18","0.88","5.44","46.67","90","7","104.02","1.04","99.26","104.02","0.7639"
"13","m15vcra_vol140","5","independent_m15_volume_climax_reversal","discovery_model1","m15vcra_vol140.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15vcra_vol140_older_2015_2018_m1.ini","m15vcra_vol140_older_2015_2018_m1","profiles\m15vcra_vol140.set","09C2525E2C45E0A83750C91BF6E8F1526EBE66AAB4A75F776D8555CA52BF9338","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.40","1.10","28.0","8","true","6","20","2","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol140_older_2015_2018_m1.htm","BD3A8B7FAC2CB73A36C535B430DCA6367D47CF222C3CBF7296C8491637DC74DB","True","FIRST_VALID_EXPORT","10000","1460","3.9973","77.19","10077.19","0.77","0.19","0.19","1.38","1.75","10.15","50","44","5","82.23","0.82","77.01","82.23","0.9387"
